Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
20-Nov-2025,"INR 2,436,916",270.0,Sanjeev Saxena,20-Nov-2025 10:52 AM,GHAZIPURLOA.pdf (789.00 KB),L1,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,2025_UPPAN_1065833_1,"2409/PAN/ET/25-26, DT. 14-08-2025",CONSTRUCTION OF 20 PERSON PRE FABRICATED BARRACK AND TOILET BATHROOM AT THANA GRP DISTT GHAZIPUR U.P.,1.0,5505457.0,INTERTOUCH OFFICE SYSTEMS,INR,"2,436,916",1,5505457,INTERTOUCH OFFICE SYSTEMS,28-Aug-2025 03:26 PM,Accepted-AOC,L1,20-Nov-2025 10:52 AM,Technical,2 bidder rejected in technical,Sanjeev Saxena,03-Sep-2025 02:03 PM,,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,SHAMSHAD AHMED,08-Sep-2025 01:04 PM,finsummary_1942897.pdf (620.89 KB),Finance,ALL BIDDER ADMITTED,SHAMSHAD AHMED,08-Sep-2025 01:02 PM,,BOQ Comparative Chart,SANJEEV SAXENA,Internal,SHAMSHAD AHMED MANOJ KUMAR JOSHI,Sanjeev Saxena,03-Sep-2025 02:06 PM,04-Sep-2025 11:00 AM,techsummary_1942897.pdf (747.45 KB),AOC,"58,000",No,fixed,,Nil,Nil,SANJEEV SAXENA,U.P. Police Awas Nigam Ltd. Lucknow,"1,770",Nil,Nil,No,14-Aug-2025 06:15 PM,29-Aug-2025 11:30 AM,14-Aug-2025 06:15 PM,28-Aug-2025 05:00 PM,NA ,NA ,14-Aug-2025 06:15 PM,28-Aug-2025 05:00 PM,04-Sep-2025 11:00 AM,UP Police Awas Nigam Limited||UP Police Awas Nigam Ltd HQ Lucknow,"2409/PAN/ET/25-26, DT. 14-08-2025",2025_UPPAN_1065833_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CONSTRUCTION OF 20 PERSON PRE FABRICATED BARRACK AND TOILET BATHROOM AT THANA GRP DISTT GHAZIPUR U.P.,CONSTRUCTION OF 20 PERSON PRE FABRICATED BARRACK AND TOILET BATHROOM AT THANA GRP DISTT GHAZIPUR U.P.,Please refer Tender documents. ,NA ,"28,87,000",Civil Works,NA ,Tender,90.0,270.0,THANA GRP DISTT GHAZIPUR U.P.,233001.0,NA ,NA ,NA ,U.P. Police Awas Nigam Ltd. Lucknow,No ,No,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5504491,M J GOVERNMENT CONTRACTOR & SUPPLIERS,28-Aug-2025 11:16 AM,Rejected-Finance,L2,08-Sep-2025 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,3,5476670,M/S RAMANAD,26-Aug-2025 04:40 PM,Rejected-Finance,L4,08-Sep-2025 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5464900,PRAKASH TRADING COMPANY,28-Aug-2025 11:54 AM,Rejected-Finance,L3,08-Sep-2025 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5505447,Ramnayan ji Kushwaha,28-Aug-2025 03:24 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Sep-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5491198,RIDDHI ENTERPRISES,27-Aug-2025 02:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Sep-2025 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
