Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,09/E-TENDER/MEERUT-ZONE/25-26 DATE 05-05-2025,2025_UPRNS_1037657_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical,1,FDR - Fixed Deposit,CONSTRUCTION OF NON RESIDENTIAL BUILDING OF PASHU CHIKATSALAYA AT PARTAPUR DISTT. MEERUT (U.P.),CONSTRUCTION OF NON RESIDENTIAL BUILDING OF PASHU CHIKATSALAYA AT PARTAPUR DISTT. MEERUT (U.P.),Please refer Tender documents. ,NA ,"51,94,873",Civil Works - Buildings,NA ,Tender,90.0,275.0,PARTAPUR MEERUT,250103.0,NA ,NA ,NA ,MEERUT,No ,No,"1,947",EE UPRNSS,MEERUT,No,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut",09-May-2025 10:00 AM,21-May-2025 11:00 AM,09-May-2025 10:00 AM,21-May-2025 11:00 AM,NA ,NA ,09-May-2025 10:00 AM,21-May-2025 11:00 AM,26-May-2025 04:30 PM,"1,03,900",No,fixed,,EE UPRNSS,MEERUT,AOC,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,26-May-2025 04:20 PM,26-May-2025 04:30 PM,techsummary_1880539.pdf (367.85 KB),Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,28-May-2025 04:38 PM,finance_1880539.pdf,BOQ Comparative Chart,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,28-May-2025 04:42 PM,finsummary_1880539.pdf (303.78 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,26-May-2025 04:16 PM,technical_1880539.pdf,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1037657_1,09/E-TENDER/MEERUT-ZONE/25-26 DATE 05-05-2025,CONSTRUCTION OF NON RESIDENTIAL BUILDING OF PASHU CHIKATSALAYA AT PARTAPUR DISTT. MEERUT (U.P.),1.0,5196755.0,SRI RAM ENTERPRISES,INR,"5,189,158.64",1,5202264,M/S JAI ENTERPRISES,20-May-2025 09:08 AM,Rejected-Finance,Quoted Rates Are Higher,28-May-2025 04:42 PM,30-May-2025,"INR 5,189,158.64",275.0,Rakesh Kumar Chaurasia,19-Nov-2025 03:01 PM,WorkOrderAnimalPartapurMRTOfficeCopy.pdf (1149.00 KB),Tender Awarded,AOC
,,,,,,,,,,,,,,2,Finance,.xls,Financial,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5196755,SRI RAM ENTERPRISES,17-May-2025 10:15 PM,Accepted-AOC,L-1,19-Nov-2025 03:01 PM,,,,,,,,AOC
