Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
23-Jul-2025,"INR 24,431,699.78",455.0,RAJIV KUMAR PANDEY,13-Nov-2025 03:11 PM,AOC.pdf (44.00 KB),"Work Awarded to M/s N P Construction,",1.0,5218307.0,N P CONSTRUCTIONS,INR,"24,431,699.78",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2025_UPPRC_1040691_2,06/GM-4/UPPCL/2025-26 Dated 08-05-2025,RENOVATION/RESTORATION OF IMPORTANT RELIGIOUS PLACES LOCATED IN SORON-SUKAR AREA AND DEVELOPMENT OF INFRASTRUCTURE FACILITIES IN DISTRICT KASGANJ (U.P.),1,5217021,M/S HITECH CONSTRUCTION,26-May-2025 09:03 PM,Rejected-Technical,All Required Document are not Complete,26-Jun-2025 06:05 PM,Technical,Five Bids Out of Five Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,26-Jun-2025 05:50 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sanjay Singh Projects Manager Unit-32 Aligarh, Shravan Kumar Accountant Unit-32 Aligarh",RAJIV KUMAR PANDEY,16-Jul-2025 02:41 PM,finsummary_1887710.pdf (75.80 KB),Finance,Three Financial Bids admitted for Financial Evaluation out of Three Bids,RAJIV KUMAR PANDEY,16-Jul-2025 02:18 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sanjay Singh Projects Manager Unit-32 Aligarh, Shravan Kumar Accountant Unit-32 Aligarh",RAJIV KUMAR PANDEY,26-Jun-2025 06:05 PM,27-Jun-2025 01:00 PM,techsummary_1887710.pdf (2191.94 KB),AOC,"4,98,000",No,fixed,,"Project Manager,(Unit-32)",Aligarh,1.0,FDR - Fixed Deposit,General Manager (Zone-4) Agra,"H.No A-121, Sec-13, Avas Vikas Colony Sikandra, Agra (U.P)",19-May-2025 06:30 PM,27-May-2025 03:00 PM,19-May-2025 06:30 PM,27-May-2025 02:00 PM,NA ,NA ,19-May-2025 06:30 PM,27-May-2025 02:00 PM,27-Jun-2025 01:00 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,06/GM-4/UPPCL/2025-26 Dated 08-05-2025,2025_UPPRC_1040691_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,RENOVATION/RESTORATION OF IMPORTANT RELIGIOUS PLACES LOCATED IN SORON-SUKAR AREA AND DEVELOPMENT OF INFRASTRUCTURE FACILITIES IN DISTRICT KASGANJ (U.P.),RENOVATION/RESTORATION OF IMPORTANT RELIGIOUS PLACES LOCATED IN SORON-SUKAR AREA AND DEVELOPMENT OF INFRASTRUCTURE FACILITIES IN DISTRICT KASGANJ (U.P.),Please refer Tender documents. ,NA ,"2,48,79,531",Civil Works - Buildings,NA ,Tender,90.0,NA ,Soron Kasganj,207403.0,Office of General Manager (Zone-4) Agra ,"H.No A-121, Sec-13, Avas Vikas Colony Sikandra, Agra (U.P) ",20-May-2025 11:00 AM ,General Manager (Zone-4) Agra,No ,No,"17,700","Project Manager,(Unit-32)",Aligarh,No,1.0,Fee/PreQual/Technical,.pdf,Bid Doc,AOC
,,,,,,,,,,,,,,,,2,5217667,M/S OM TRADERS,27-May-2025 08:32 AM,Rejected-Technical,All Required Document are not Complete,26-Jun-2025 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,AOC
,,,,,,,,,,,,,,,,3,5217350,M/s Pragya Construction,27-May-2025 12:17 AM,Rejected-Finance,Being Second Lowest,16-Jul-2025 02:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5218307,N P CONSTRUCTIONS,27-May-2025 12:16 PM,Accepted-AOC,L1,13-Nov-2025 03:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5217657,PRAMOD KUMAR GUPTA,27-May-2025 08:26 AM,Rejected-Finance,Being Third Lowest,16-Jul-2025 02:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
