S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,FDR - Fixed Deposit,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra","CONSTRUCTION OF CAMPUS BOUNDARYWALL AT DISTRICT JAIL AGRA, (U.P)","CONSTRUCTION OF CAMPUS BOUNDARYWALL AT DISTRICT JAIL AGRA, (U.P)",Please refer Tender documents. ,NA ,"1,16,54,712",Civil Works - Buildings,NA ,Tender,90.0,365.0,District Jail Agra,282006.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra  ",17-Apr-2025 11:00 AM ,General Manager (Zone-4) Agra,No ,No,"17,700","Project Manager,(Unit-4)",Agra,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,02/GM-4/UPPCL/2025-26 Dated 08-04-2025,2025_UPPRC_1027487_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,"2,34,000",No,fixed,,"Project Manager,(Unit-4)",Agra,11-May-2026 05:59 PM,23-Apr-2025 03:00 PM,11-Apr-2025 02:30 PM,23-Apr-2025 02:00 PM,NA ,NA ,11-Apr-2025 02:30 PM,23-Apr-2026 05:59 PM,26-Apr-2025 02:00 PM,AOC,Technical,Two Bid out of Two Bid in Technical Avaluation,RAJIV KUMAR PANDEY,25-Apr-2025 09:35 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Ram Kumar Project Manager Unit-4 Agra, Deependra Pratap Singh Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,14-May-2025 07:15 PM,finsummary_1856934.pdf (69.15 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,30-Apr-2025 07:07 PM,,BOQ Comparative Chart,"Rajeev Kumar Panday General Manager Zone-4, Agra",Internal,"Karmendra Kumar Agarwal General Manager Zone-6, Noida, Ram Kumar Project Manager Unit-4, Agra, Deependra Pratap Singh, Accountant Unit-4, Agra",RAJIV KUMAR PANDEY,25-Apr-2025 09:51 PM,26-Apr-2025 02:00 PM,techsummary_1856934.pdf (1432.28 KB),19-May-2025,"INR 11,175,704.05",365.0,RAJIV KUMAR PANDEY,13-Nov-2025 06:10 PM,AOC.pdf (44.00 KB),Work Awarded to M/s Shree Bankey Bihari,1.0,5139207.0,M/S SHREE BANKEY BIHARI CONSTRUCTION,INR,"11,175,704.05",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2025_UPPRC_1027487_1,02/GM-4/UPPCL/2025-26 Dated 08-04-2025,"CONSTRUCTION OF CAMPUS BOUNDARYWALL AT DISTRICT JAIL AGRA, (U.P)",1,5139829,M/S PRAMOD KUMAR YADAV,23-Apr-2025 09:42 AM,Rejected-Finance,Being Second Lowest,14-May-2025 07:15 PM,AOC
2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5139207,M/S SHREE BANKEY BIHARI CONSTRUCTION,22-Apr-2025 09:58 PM,Accepted-AOC,L1,13-Nov-2025 06:10 PM,AOC
