Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","6,770",Nil,Nil,No,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/397 DT-01/08/2025,2025_YEIDA_1062773_15,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Providing and laying water supply system for industrial sector -29(part-B) Yeida . WC-04,Providing and laying water supply system for industrial sector -29(part-B) Yeida . WC-04,Please refer Tender documents. ,NA ,"5,73,81,365",Civil Works,NA ,Tender,90.0,180.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA OFFICE 2ND FLOOR E- TENDER CELL,No ,No,06-Aug-2025 06:55 PM,21-Aug-2025 11:00 AM,06-Aug-2025 06:55 PM,19-Aug-2025 05:00 PM,NA ,NA ,06-Aug-2025 06:55 PM,19-Aug-2025 05:00 PM,09-Sep-2025 12:00 PM,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"11,48,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC,1,5448888,H.P. BUILDERS PRIVATE LIMITED,19-Aug-2025 02:12 PM,Accepted-AOC,L1,10-Nov-2025 11:27 AM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1062773_15,YEA/GM(PROJECT)/2025/397 DT-01/08/2025,Providing and laying water supply system for industrial sector -29(part-B) Yeida . WC-04,1.0,5448888.0,H.P. BUILDERS PRIVATE LIMITED,INR,"49,330,760.11",Committee,Internal,Committee,RAJENDRA SINGH BHATI,10-Sep-2025 01:12 PM,finsummary_1937085.pdf (173.43 KB),Finance,EVALUATION,RAJENDRA SINGH BHATI,10-Sep-2025 01:06 PM,,BOQ Comparative Chart,Technical,EVALUATION,VIKAS KUMAR,09-Sep-2025 11:05 AM,,10-Sep-2025,"INR 49,330,760.11",180.0,VIKAS KUMAR,10-Nov-2025 11:27 AM,397_15.pdf (874.00 KB),AOC,Committee,Internal,Committee,VIKAS KUMAR,09-Sep-2025 11:12 AM,09-Sep-2025 12:00 PM,techsummary_1937085.pdf (11253.32 KB),AOC
,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5459138,M/S A R INTERNATIONAL,19-Aug-2025 03:18 PM,Rejected-Finance,L4,10-Sep-2025 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5425852,M/s Jainco Buildcon Private Limited,19-Aug-2025 04:23 PM,Rejected-Technical,DISQUALIFIED,09-Sep-2025 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,5450599,M/S LUCKY CONTRACTOR,19-Aug-2025 04:39 PM,Rejected-Finance,L2,10-Sep-2025 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,5459405,M/S Shyam Kumar And Company Pvt Ltd,19-Aug-2025 04:54 PM,Rejected-Finance,L3,10-Sep-2025 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
