Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,03/E-TENDER/MEERUT-ZONE/25-26 DATED 22-04-2025,2025_UPRNS_1032370_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,947",EE UPRNSS,SAHARANPUR,No,24-Apr-2025 06:30 PM,07-May-2025 02:00 PM,24-Apr-2025 06:30 PM,07-May-2025 02:00 PM,NA ,NA ,24-Apr-2025 06:30 PM,07-May-2025 02:00 PM,14-May-2025 11:40 AM,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut",1,FDR - Fixed Deposit,"CONSTRUCTION OF NON-RESIDENCIAL VETERINARY HOSPITAL BUILDING AT BHUDHANA, MUZFFARNAGAR (U.P.)","CONSTRUCTION OF NON-RESIDENCIAL VETERINARY HOSPITAL BUILDING AT BHUDHANA, MUZFFARNAGAR (U.P.)",Please refer Tender documents. ,NA ,"52,50,320",Civil Works - Buildings,NA ,Tender,90.0,182.0,BHUDHANA,251309.0,NA ,NA ,NA ,MEERUT,No ,No,"1,05,005",No,fixed,,EE UPRNSS,SAHARANPUR,1,Fee/PreQual/Technical,.pdf,TECHNICAL,AOC,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,14-May-2025 06:33 PM,finsummary_1867879.pdf (254.66 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,14-May-2025 11:20 AM,technical_1867879.pdf,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,14-May-2025 11:25 AM,14-May-2025 11:40 AM,techsummary_1867879.pdf (571.20 KB),Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,14-May-2025 06:30 PM,finance_1867879.pdf,BOQ Comparative Chart,1,5171857,M/S JAI ENTERPRISES,06-May-2025 01:56 PM,Accepted-AOC,L-1,19-Nov-2025 12:58 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1032370_1,03/E-TENDER/MEERUT-ZONE/25-26 DATED 22-04-2025,"CONSTRUCTION OF NON-RESIDENCIAL VETERINARY HOSPITAL BUILDING AT BHUDHANA, MUZFFARNAGAR (U.P.)",1.0,5171857.0,M/S JAI ENTERPRISES,INR,"5,245,594.8",16-May-2025,"INR 5,245,594.8",182.0,Rakesh Kumar Chaurasia,19-Nov-2025 12:58 PM,WorkOrderAnimalBhudhanaMZNSREOfficeCopy.pdf (1147.00 KB),`Tender Awarded,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5173204,MUSKAN CONSTRUCTION,07-May-2025 07:33 AM,Rejected-Finance,Quoted Rates Are Higher,14-May-2025 06:33 PM,,,,,,,,,,,,,,,,,AOC
